num_downloads,month
1662,2025-04-01
5681,2025-03-01
4250,2025-02-01
6788,2025-01-01
7627,2024-12-01
7500,2024-11-01
7763,2024-10-01
4756,2024-09-01
3827,2024-08-01
3922,2024-07-01
2629,2024-06-01
3203,2024-05-01
4273,2024-04-01
3515,2024-03-01
5214,2024-02-01
3390,2024-01-01
3700,2023-12-01
2208,2023-11-01
1835,2023-10-01
1673,2023-09-01
3592,2023-08-01
1635,2023-07-01
2533,2023-06-01
4196,2023-05-01
2664,2023-04-01
2226,2023-03-01
1724,2023-02-01
885,2023-01-01
1330,2022-12-01
2220,2022-11-01
2833,2022-10-01
2905,2022-09-01
1720,2022-08-01
1881,2022-07-01
2006,2022-06-01
2013,2022-05-01
3243,2022-04-01
4241,2022-03-01
1807,2022-02-01
2154,2022-01-01
1581,2021-12-01
1714,2021-11-01
2362,2021-10-01
2213,2021-09-01
3142,2021-08-01
2501,2021-07-01
2853,2021-06-01
2152,2021-05-01
1921,2021-04-01
1376,2021-03-01
